n,doc_id,page,date,url
65,frjb19810701-01.1.6,"Page 6","1 July 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810701-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
66,frjb19810722-01.1.5,"Page 5","22 July 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810722-01.1.5&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
67,frjb19810729-01.1.6,"Page 6","29 July 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810729-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
68,frjb19810805-01.1.6,"Page 6","5 August 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810805-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
69,frjb19810819-01.1.6,"Page 6","19 August 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810819-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
70,frjb19810909-01.1.9,"Page 9","9 September 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810909-01.1.9&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
71,frjb19810916-01.1.6,"Page 6","16 September 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810916-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
72,frjb19810923-01.1.6,"Page 6","23 September 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810923-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
73,frjb19811028-01.1.6,"Page 6","28 October 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19811028-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
74,frjb19811118-01.1.6,"Page 6","18 November 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19811118-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
75,frjb19811123-01.1.9,"Page 9","23 November 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19811123-01.1.9&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
76,frjb19811209-01.1.6,"Page 6","9 December 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19811209-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
77,frjb19820106-01.1.6,"Page 6","6 January 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820106-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
78,frjb19820113-01.1.6,"Page 6","13 January 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820113-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
79,frjb19820120-01.1.6,"Page 6","20 January 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820120-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
80,frjb19820210-01.1.7,"Page 7","10 February 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820210-01.1.7&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
81,frjb19820310-01.1.6,"Page 6","10 March 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820310-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
82,frjb19820317-01.1.3,"Page 3","17 March 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820317-01.1.3&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
83,frjb19820407-01.1.5,"Page 5","7 April 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820407-01.1.5&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
84,frjb19820414-01.1.5,"Page 5","14 April 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820414-01.1.5&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
85,frjb19820421-01.1.6,"Page 6","21 April 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820421-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
86,frjb19820512-01.1.6,"Page 6","12 May 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820512-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
87,frjb19820519-01.1.4,"Page 4","19 May 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820519-01.1.4&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
88,frjb19820630-01.1.4,"Page 4","30 June 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820630-01.1.4&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
89,frjb19820707-01.1.6,"Page 6","7 July 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820707-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
90,frjb19820721-01.1.6,"Page 6","21 July 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820721-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
91,frjb19820728-01.1.6,"Page 6","28 July 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820728-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
92,frjb19820818-01.1.6,"Page 6","18 August 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820818-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
93,frjb19820825-01.1.6,"Page 6","25 August 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820825-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
94,frjb19820901-01.1.6,"Page 6","1 September 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820901-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
95,frjb19820908-01.1.6,"Page 6","8 September 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820908-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
96,frjb19820915-01.1.6,"Page 6","15 September 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19820915-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
97,frjb19821006-01.1.6,"Page 6","6 October 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19821006-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
98,frjb19821013-01.1.7,"Page 7","13 October 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19821013-01.1.7&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
99,frjb19821027-01.1.6,"Page 6","27 October 1982",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19821027-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
